jdb	vrad	svrad
---	----	-----
53369.16663	0.0088	0.0007
53425.07667	-0.0066	0.0006
53479.96032	-0.0169	0.0006
53482.96440	-0.0140	0.0007
53483.96117	-0.0147	0.0006
53485.07996	-0.0184	0.0006
53486.04514	-0.0191	0.0005
53488.13906	-0.0139	0.0006
53489.08696	-0.0150	0.0006
53516.04043	-0.0170	0.0007
53521.94298	-0.0185	0.0010
53546.78158	-0.0189	0.0004
53547.76796	-0.0177	0.0004
53548.80045	-0.0197	0.0004
53549.80104	-0.0235	0.0004
53550.82365	-0.0244	0.0004
53551.80855	-0.0215	0.0004
53569.90141	-0.0173	0.0008
53570.94617	-0.0207	0.0006
53571.94048	-0.0215	0.0006
53573.87030	-0.0155	0.0006
53575.87530	-0.0166	0.0006
53576.75813	-0.0193	0.0004
53576.89023	-0.0207	0.0006
53577.86776	-0.0224	0.0007
53578.91377	-0.0205	0.0006
53602.72508	-0.0151	0.0005
53754.09220	0.0150	0.0006
53776.17013	0.0177	0.0006
53777.08603	0.0157	0.0006
53806.94545	0.0231	0.0006
53840.21603	0.0220	0.0008
53841.16188	0.0206	0.0006
53843.13891	0.0221	0.0006
53844.08319	0.0242	0.0007
53926.74769	0.0114	0.0005
53927.78252	0.0094	0.0004
53931.82248	0.0121	0.0004
53937.93317	0.0090	0.0007
53938.93436	0.0069	0.0006
53943.88525	0.0043	0.0005
53944.88569	0.0037	0.0005
53945.88638	0.0070	0.0006
53946.88960	0.0100	0.0006
54111.21051	-0.0211	0.0008
54112.21939	-0.0212	0.0006
54113.22990	-0.0193	0.0008
54114.26145	-0.0176	0.0009
54119.24597	-0.0175	0.0007
54120.22002	-0.0167	0.0007
54121.21210	-0.0172	0.0006
54123.23541	-0.0216	0.0006
54126.19788	-0.0198	0.0006
54127.20219	-0.0224	0.0006
54128.20519	-0.0238	0.0007
54129.20022	-0.0210	0.0005
54130.19130	-0.0171	0.0005
54131.14294	-0.0164	0.0006
54131.20082	-0.0170	0.0005
54132.20696	-0.0196	0.0007
54135.19894	-0.0219	0.0007
54136.21567	-0.0187	0.0006
54137.21358	-0.0200	0.0005
54138.19311	-0.0226	0.0008
54139.18689	-0.0229	0.0007
54141.21764	-0.0176	0.0007
54142.20644	-0.0177	0.0005
54144.14374	-0.0230	0.0006
54145.17237	-0.0240	0.0006
54146.19289	-0.0207	0.0006
54147.21096	-0.0193	0.0006
54148.24103	-0.0205	0.0006
54149.18109	-0.0212	0.0006
54150.21285	-0.0229	0.0006
54151.22296	-0.0188	0.0006
54152.09352	-0.0179	0.0007
54152.25396	-0.0174	0.0005
54153.17187	-0.0192	0.0007
54154.09474	-0.0230	0.0006
54154.27050	-0.0229	0.0007
54155.06551	-0.0243	0.0006
54155.27322	-0.0239	0.0006
54156.18613	-0.0217	0.0004
54157.16889	-0.0175	0.0009
54158.18706	-0.0156	0.0009
54223.12188	-0.0093	0.0005
54224.15218	-0.0109	0.0007
54225.08458	-0.0120	0.0006
54226.02062	-0.0097	0.0008
54227.02043	-0.0068	0.0007
54246.81083	-0.0053	0.0007
54247.94552	-0.0039	0.0007
54248.81966	0.0002	0.0011
54250.80828	-0.0019	0.0011
54251.81149	-0.0054	0.0010
54252.97759	-0.0056	0.0008
