jdb	vrad	svrad
---	----	-----
54616.63498	-0.0015	0.0004
54617.62040	0.0004	0.0004
54638.69392	-0.0007	0.0004
54639.63720	-0.0005	0.0004
54640.62325	-0.0009	0.0004
54641.57545	0.0002	0.0004
54642.59837	0.0011	0.0004
54643.60286	0.0008	0.0004
54644.63477	-0.0020	0.0004
54645.55937	-0.0006	0.0004
54646.59323	-0.0004	0.0004
54647.54606	0.0005	0.0004
54648.64386	0.0001	0.0004
54878.80540	0.0002	0.0004
54878.89765	0.0007	0.0004
54879.77077	-0.0006	0.0005
54880.78099	-0.0002	0.0004
54880.89430	-0.0004	0.0004
54881.76988	-0.0004	0.0004
54881.90503	-0.0000	0.0005
54882.76694	0.0001	0.0004
54882.88408	0.0009	0.0004
54883.77748	0.0007	0.0004
54884.89250	-0.0010	0.0004
54886.75355	0.0001	0.0004
54886.89817	0.0008	0.0004
54913.77397	0.0003	0.0004
54913.78911	0.0001	0.0004
54913.88892	-0.0005	0.0004
54913.90142	0.0001	0.0005
54914.84345	-0.0003	0.0003
54914.85656	-0.0003	0.0004
54915.75292	0.0012	0.0004
54915.91243	0.0024	0.0004
54916.75259	0.0007	0.0004
54916.83312	0.0011	0.0004
54916.90233	0.0017	0.0004
54917.73311	0.0010	0.0004
54917.82160	0.0015	0.0004
54917.90653	0.0010	0.0004
54918.70985	0.0006	0.0004
54918.90809	-0.0003	0.0004
54919.73070	0.0002	0.0006
54919.81183	-0.0005	0.0005
54920.74484	0.0001	0.0004
54920.81570	0.0010	0.0004
54920.89603	0.0015	0.0004
54932.67930	0.0007	0.0004
54932.75912	0.0017	0.0004
54932.84935	0.0012	0.0004
54933.70343	0.0007	0.0004
54933.78827	0.0005	0.0004
54933.85285	0.0005	0.0004
54934.68120	0.0007	0.0004
54934.75711	-0.0002	0.0004
54934.83508	-0.0003	0.0004
54935.65635	-0.0008	0.0004
54935.75462	-0.0015	0.0004
54935.83158	-0.0019	0.0004
54936.67799	-0.0010	0.0004
54936.76751	-0.0012	0.0004
54936.84003	-0.0014	0.0004
54937.66956	-0.0011	0.0004
54937.75739	-0.0006	0.0004
54937.83438	-0.0018	0.0004
54938.68259	-0.0013	0.0004
54938.74189	-0.0013	0.0004
54938.82162	-0.0008	0.0004
54939.68440	-0.0020	0.0004
54939.74602	-0.0022	0.0004
54939.81602	-0.0022	0.0004
54940.69027	-0.0018	0.0004
54940.76246	-0.0016	0.0004
54940.84127	-0.0009	0.0004
54941.67797	-0.0003	0.0004
54941.77273	0.0008	0.0004
54941.84010	0.0004	0.0004
54946.67387	-0.0005	0.0003
54946.75751	0.0003	0.0004
54946.85169	0.0002	0.0004
54947.62555	0.0005	0.0004
54947.72440	0.0007	0.0004
54947.78827	0.0001	0.0004
54949.62826	0.0005	0.0004
54949.71589	-0.0002	0.0004
54949.83197	0.0003	0.0004
54950.63060	-0.0012	0.0004
54950.72549	-0.0006	0.0004
54950.82784	0.0004	0.0004
54951.64952	-0.0004	0.0004
54951.66014	0.0002	0.0005
54951.75807	0.0018	0.0004
54951.85159	0.0015	0.0004
54952.74350	0.0012	0.0005
54952.82589	0.0004	0.0005
54953.61257	0.0019	0.0004
54953.71709	0.0001	0.0004
54953.83991	0.0004	0.0004
54954.61924	0.0012	0.0005
54954.73134	0.0003	0.0005
54954.82656	0.0007	0.0005
54955.60622	0.0003	0.0004
54955.74415	0.0013	0.0005
54955.82358	0.0015	0.0004
54956.66362	0.0010	0.0004
54956.74731	0.0024	0.0004
54956.81872	0.0016	0.0004
54988.53016	0.0009	0.0004
54988.60174	-0.0005	0.0005
54988.68249	-0.0017	0.0004
54989.52787	-0.0014	0.0004
54989.70207	-0.0025	0.0004
54990.62160	-0.0014	0.0006
54990.71335	-0.0010	0.0006
54991.58849	-0.0020	0.0004
54991.64005	-0.0012	0.0004
54991.70731	-0.0014	0.0004
