jdb	vrad	svrad
---	----	-----
52990.81451	0.0012	0.0012
53002.83363	-0.0003	0.0011
53051.74927	0.0010	0.0011
53063.67446	0.0000	0.0010
53759.77268	-0.0016	0.0004
54141.75387	0.0003	0.0004
54422.85208	-0.0004	0.0004
54426.83021	-0.0003	0.0004
54521.67529	-0.0008	0.0005
54522.75163	0.0003	0.0004
54523.72989	-0.0010	0.0005
54524.71902	0.0008	0.0004
54525.73898	0.0012	0.0004
54526.67410	-0.0004	0.0004
54527.70033	0.0005	0.0004
54528.66385	0.0017	0.0004
54529.66626	-0.0002	0.0004
54530.71159	0.0017	0.0004
54569.58882	-0.0003	0.0004
54571.56813	0.0029	0.0005
54611.54352	-0.0015	0.0004
54616.54398	-0.0006	0.0005
54618.49948	0.0026	0.0006
54620.46544	0.0008	0.0012
54640.52281	0.0004	0.0004
54643.49018	0.0016	0.0004
54647.50597	0.0012	0.0004
54774.86071	0.0003	0.0005
54775.85951	-0.0003	0.0005
54776.86403	-0.0006	0.0006
54777.87158	0.0004	0.0005
54778.87121	-0.0001	0.0005
54779.87319	0.0008	0.0005
54780.87114	-0.0004	0.0006
54799.82986	-0.0004	0.0005
54800.83429	0.0006	0.0004
54801.79065	0.0024	0.0004
54802.82679	0.0008	0.0003
54803.80505	-0.0006	0.0004
54804.83405	-0.0013	0.0004
54805.82806	-0.0016	0.0004
54806.80424	0.0007	0.0004
54807.80998	0.0003	0.0004
54847.80026	0.0001	0.0003
54848.80163	0.0003	0.0003
54849.76930	0.0007	0.0003
54850.79608	0.0008	0.0003
54851.78868	-0.0001	0.0003
54852.78867	0.0003	0.0003
54853.77149	0.0003	0.0003
54854.79711	-0.0002	0.0003
54878.71662	0.0007	0.0003
54879.66815	0.0008	0.0004
54880.75239	-0.0005	0.0003
54881.74306	-0.0017	0.0003
54882.67091	-0.0016	0.0004
54883.64099	-0.0002	0.0004
54884.71141	0.0005	0.0004
54885.63862	0.0004	0.0004
54886.70769	0.0005	0.0003
54913.63232	0.0022	0.0003
54914.62839	0.0019	0.0003
54915.63299	0.0007	0.0004
54916.62564	-0.0002	0.0003
54917.62727	-0.0016	0.0003
54918.63273	-0.0007	0.0003
54919.59834	0.0001	0.0003
54920.62177	0.0003	0.0003
55184.81925	0.0003	0.0003
55219.81525	-0.0007	0.0004
55220.80442	0.0022	0.0004
55222.81010	-0.0010	0.0005
55223.81539	-0.0009	0.0004
55224.72967	-0.0012	0.0003
55225.78360	-0.0006	0.0004
55226.82600	0.0018	0.0003
55228.84960	0.0014	0.0005
55231.76834	0.0005	0.0004
55232.79348	0.0016	0.0004
55233.72107	-0.0002	0.0004
55234.76912	0.0005	0.0004
55235.75950	0.0014	0.0004
55236.72530	-0.0008	0.0004
55237.74952	0.0010	0.0004
55238.78313	0.0022	0.0003
55239.78512	0.0001	0.0003
55240.76612	-0.0011	0.0004
55241.78700	-0.0014	0.0003
55242.79091	-0.0025	0.0003
55243.79879	0.0003	0.0003
55244.81400	0.0010	0.0004
55245.73481	-0.0001	0.0003
55246.76790	-0.0000	0.0004
55247.79685	-0.0004	0.0004
55248.75565	-0.0012	0.0003
55272.64081	0.0010	0.0003
55275.63212	0.0012	0.0004
55276.58336	-0.0003	0.0004
55277.65939	-0.0013	0.0003
55574.83561	0.0003	0.0004
55575.82902	-0.0002	0.0004
55576.82522	0.0020	0.0005
55577.83007	-0.0008	0.0004
55578.82553	0.0006	0.0004
55579.83505	0.0025	0.0003
55580.80769	0.0002	0.0004
55583.82289	-0.0024	0.0004
55584.81921	-0.0014	0.0004
55585.80043	0.0005	0.0004
55586.75519	-0.0013	0.0005
55589.82818	-0.0026	0.0004
55590.82939	-0.0001	0.0004
55591.80385	0.0001	0.0004
55592.81654	-0.0004	0.0003
55593.82207	0.0021	0.0004
55611.69558	0.0015	0.0003
55612.67072	-0.0007	0.0003
55613.73744	-0.0012	0.0004
55614.68515	0.0014	0.0003
55615.72443	-0.0000	0.0003
55616.69928	0.0007	0.0003
55617.72421	0.0009	0.0004
55619.68853	-0.0010	0.0004
55620.75669	0.0004	0.0005
55622.64258	0.0015	0.0004
55623.68609	0.0018	0.0004
55626.64484	0.0003	0.0003
55627.73633	-0.0013	0.0004
55628.64690	-0.0005	0.0004
55629.65085	-0.0000	0.0003
55630.67262	-0.0015	0.0003
55631.64972	0.0000	0.0004
55632.64627	0.0000	0.0004
55633.67413	-0.0001	0.0003
55634.63845	0.0009	0.0003
55635.62772	-0.0007	0.0004
55637.62128	-0.0000	0.0004
55638.64695	0.0001	0.0003
55639.64591	0.0006	0.0003
55640.66801	0.0033	0.0003
55641.65542	0.0004	0.0003
55642.63741	-0.0008	0.0003
55643.63893	0.0004	0.0003
55644.64157	-0.0010	0.0003
55645.63389	0.0007	0.0003
55646.63676	0.0021	0.0003
55647.63046	-0.0003	0.0003
55648.65497	0.0001	0.0003
55652.59345	0.0005	0.0003
55653.60844	-0.0026	0.0003
55654.59253	-0.0015	0.0003
55656.60587	-0.0009	0.0003
55657.58163	0.0009	0.0003
55659.53577	-0.0014	0.0003
55660.50409	-0.0001	0.0005
55662.55366	-0.0010	0.0004
55672.59576	0.0001	0.0004
55674.52779	0.0005	0.0004
55676.59383	-0.0005	0.0004
55677.50826	-0.0018	0.0004
55678.49094	-0.0009	0.0004
55679.55559	-0.0019	0.0003
55680.54242	-0.0003	0.0004
55681.54153	0.0013	0.0004
55682.53088	-0.0001	0.0004
55683.52480	0.0000	0.0003
55684.53091	0.0007	0.0004
55685.53371	-0.0012	0.0004
55686.56159	0.0008	0.0004
55687.52274	0.0022	0.0004
55689.54959	0.0008	0.0006
55691.57620	-0.0005	0.0004
55692.54262	0.0024	0.0005
55693.49739	0.0024	0.0004
55694.48058	-0.0002	0.0003
55695.50135	-0.0012	0.0004
55711.53569	0.0007	0.0005
55712.50993	-0.0003	0.0005
55714.57783	-0.0013	0.0008
55715.47189	-0.0004	0.0004
55716.48368	0.0018	0.0004
55727.46508	0.0013	0.0004
55728.47733	0.0016	0.0004
55729.47227	-0.0006	0.0005
55735.49458	0.0021	0.0008
