jdb	vrad	svrad
---	----	-----
53204.93612	0.0366	0.0016
53310.65159	-0.0200	0.0014
53311.64956	-0.0123	0.0011
53342.67388	0.0395	0.0013
53370.60997	-0.0284	0.0012
53371.58279	-0.0355	0.0015
53375.56756	-0.0385	0.0014
53574.85221	-0.0445	0.0014
53577.86913	-0.0364	0.0015
53669.74230	-0.0032	0.0017
53675.74647	0.0422	0.0012
53691.51829	-0.0085	0.0009
53721.57485	0.0419	0.0011
53727.60315	-0.0231	0.0012
53762.52481	0.0304	0.0012
53946.83049	0.0286	0.0013
53951.88220	-0.0296	0.0014
53979.88162	-0.0314	0.0023
54082.62349	0.0087	0.0013
54319.90201	0.0246	0.0016
54346.85922	0.0442	0.0016
54347.80067	0.0412	0.0012
54349.79877	0.0220	0.0014
54350.81632	0.0142	0.0014
54385.71984	0.0067	0.0027
54386.66472	0.0183	0.0013
54394.72922	0.0165	0.0017
54420.60958	-0.0273	0.0011
54428.59363	-0.0122	0.0011
54430.60948	0.0081	0.0012
54437.61943	0.0379	0.0014
54445.53183	-0.0445	0.0014
54453.63070	0.0189	0.0015
54478.60408	0.0442	0.0013
54637.92162	0.0401	0.0013
54657.83449	0.0474	0.0013
54670.80019	-0.0433	0.0016
54672.85509	-0.0338	0.0018
54687.91803	-0.0168	0.0018
54703.87351	0.0446	0.0014
54719.65238	-0.0058	0.0014
54730.75502	0.0074	0.0018
54745.64107	0.0367	0.0014
54751.76941	0.0233	0.0016
54752.68665	0.0143	0.0013
54784.76018	-0.0274	0.0014
54812.58382	0.0338	0.0017
54847.54217	-0.0448	0.0010
54854.52721	0.0076	0.0017
54871.50588	-0.0442	0.0015
54872.52080	-0.0369	0.0021
55018.88969	0.0346	0.0022
55079.86954	0.0267	0.0009
55090.80991	-0.0269	0.0008
