jdb	vrad	svrad
---	----	-----
53369.16663	0.0098	0.0007
53425.07667	-0.0071	0.0006
53479.96032	-0.0172	0.0006
53482.96440	-0.0155	0.0007
53483.96117	-0.0151	0.0006
53485.07996	-0.0182	0.0006
53486.04514	-0.0197	0.0005
53488.13906	-0.0141	0.0006
53489.08696	-0.0145	0.0006
53516.04043	-0.0150	0.0007
53521.94298	-0.0199	0.0010
53546.78158	-0.0186	0.0004
53547.76796	-0.0173	0.0004
53548.80045	-0.0200	0.0004
53549.80104	-0.0236	0.0004
53550.82365	-0.0239	0.0004
53551.80855	-0.0219	0.0004
53569.90141	-0.0182	0.0008
53570.94617	-0.0207	0.0006
53571.94048	-0.0217	0.0006
53573.87030	-0.0171	0.0006
53575.87530	-0.0185	0.0006
53576.75813	-0.0206	0.0004
53576.89023	-0.0223	0.0006
53577.86776	-0.0216	0.0007
53578.91377	-0.0201	0.0006
53602.72508	-0.0138	0.0005
53754.09220	0.0135	0.0006
53776.17013	0.0171	0.0006
53777.08603	0.0161	0.0006
53806.94545	0.0216	0.0006
53840.21603	0.0228	0.0008
53841.16188	0.0186	0.0006
53843.13891	0.0201	0.0006
53844.08319	0.0228	0.0007
53926.74769	0.0127	0.0005
53927.78252	0.0094	0.0004
53931.82248	0.0126	0.0004
53937.93317	0.0104	0.0007
53938.93436	0.0068	0.0006
53943.88525	0.0048	0.0005
53944.88569	0.0033	0.0005
53945.88638	0.0067	0.0006
53946.88960	0.0096	0.0006
54111.21051	-0.0213	0.0008
54112.21939	-0.0218	0.0006
54113.22990	-0.0190	0.0008
54114.26145	-0.0179	0.0009
54119.24597	-0.0198	0.0007
54120.22002	-0.0170	0.0007
54121.21210	-0.0180	0.0006
54123.23541	-0.0224	0.0006
54126.19788	-0.0194	0.0006
54127.20219	-0.0228	0.0006
54128.20519	-0.0244	0.0007
54129.20022	-0.0213	0.0005
54130.19130	-0.0177	0.0005
54131.14294	-0.0164	0.0006
54131.20082	-0.0165	0.0005
54132.20696	-0.0185	0.0007
54135.19894	-0.0216	0.0007
54136.21567	-0.0184	0.0006
54137.21358	-0.0198	0.0005
54138.19311	-0.0225	0.0008
54139.18689	-0.0227	0.0007
54141.21764	-0.0167	0.0007
54142.20644	-0.0167	0.0005
54144.14374	-0.0236	0.0006
54145.17237	-0.0232	0.0006
54146.19289	-0.0201	0.0006
54147.21096	-0.0189	0.0006
54148.24103	-0.0192	0.0006
54149.18109	-0.0201	0.0006
54150.21285	-0.0218	0.0006
54151.22296	-0.0184	0.0006
54152.09352	-0.0159	0.0007
54152.25396	-0.0160	0.0005
54153.17187	-0.0177	0.0007
54154.09474	-0.0225	0.0006
54154.27050	-0.0209	0.0007
54155.06551	-0.0236	0.0006
54155.27322	-0.0234	0.0006
54156.18613	-0.0211	0.0004
54157.16889	-0.0201	0.0009
54158.18706	-0.0155	0.0009
54223.12188	-0.0094	0.0005
54224.15218	-0.0104	0.0007
54225.08458	-0.0120	0.0006
54226.02062	-0.0116	0.0008
54227.02043	-0.0076	0.0007
54246.81083	-0.0068	0.0007
54247.94552	-0.0054	0.0007
54248.81966	-0.0023	0.0011
54250.80828	-0.0038	0.0011
54251.81149	-0.0083	0.0010
54252.97759	-0.0052	0.0008
54254.01661	-0.0029	0.0007
54254.91868	0.0009	0.0008
54255.75898	0.0012	0.0008
54255.98460	-0.0011	0.0008
54257.07180	-0.0045	0.0008
54277.73265	0.0027	0.0005
54278.73377	-0.0012	0.0009
54279.73075	0.0001	0.0008
54280.74026	0.0031	0.0010
54285.76472	0.0034	0.0006
54294.73843	0.0053	0.0005
54304.73624	0.0088	0.0006
54305.73658	0.0063	0.0006
54306.80060	0.0054	0.0006
54307.73485	0.0078	0.0005
54308.73551	0.0099	0.0006
54309.73851	0.0086	0.0008
54310.73545	0.0080	0.0008
54311.73296	0.0083	0.0008
54312.73423	0.0091	0.0005
54313.73496	0.0128	0.0008
54314.73608	0.0118	0.0009
54318.77353	0.0100	0.0005
54333.86604	0.0121	0.0013
54334.86018	0.0140	0.0008
54335.85304	0.0156	0.0008
54336.84663	0.0129	0.0007
54455.16774	0.0214	0.0012
54456.15784	0.0206	0.0011
54465.13890	0.0220	0.0011
54491.10891	0.0115	0.0011
54543.06967	0.0029	0.0007
54545.03961	0.0035	0.0011
54546.03027	0.0064	0.0012
54547.03936	0.0047	0.0011
54550.11293	-0.0013	0.0008
54551.09816	0.0018	0.0009
54552.14240	0.0044	0.0009
54553.10980	0.0032	0.0010
54600.92698	-0.0053	0.0011
54601.87647	-0.0068	0.0010
54634.78181	-0.0168	0.0009
54666.78904	-0.0188	0.0003
54667.78945	-0.0206	0.0003
54671.80264	-0.0179	0.0003
54672.78558	-0.0222	0.0003
54673.79754	-0.0231	0.0003
54675.79484	-0.0184	0.0005
54701.73724	-0.0220	0.0004
54702.73348	-0.0198	0.0003
54703.73110	-0.0192	0.0005
54819.16638	-0.0103	0.0004
54820.17627	-0.0085	0.0005
54821.14761	-0.0040	0.0008
54822.14603	-0.0013	0.0006
54823.16898	-0.0043	0.0004
54873.10516	0.0025	0.0005
54897.20941	0.0123	0.0011
54900.19861	0.0102	0.0010
54901.16839	0.0106	0.0008
54902.21654	0.0131	0.0010
54903.14262	0.0128	0.0004
54904.20346	0.0123	0.0015
54905.27335	0.0067	0.0008
54906.22330	0.0085	0.0009
54907.21266	0.0146	0.0008
54908.21531	0.0151	0.0008
54967.98451	0.0230	0.0004
54968.97445	0.0185	0.0007
55013.83842	0.0184	0.0006
55015.83950	0.0239	0.0007
55017.84841	0.0192	0.0006
55018.90225	0.0155	0.0007
55018.95764	0.0162	0.0011
55019.99765	0.0163	0.0007
55020.83414	0.0198	0.0006
55021.83208	0.0216	0.0003
55021.88251	0.0237	0.0008
55022.84171	0.0207	0.0003
55022.89587	0.0212	0.0007
55023.74658	0.0187	0.0003
55023.87589	0.0171	0.0009
55024.84232	0.0183	0.0003
55029.86175	0.0146	0.0006
55030.97802	0.0183	0.0005
55031.84137	0.0218	0.0006
55032.92564	0.0229	0.0005
55036.86026	0.0190	0.0006
55037.84849	0.0210	0.0007
55040.85306	0.0151	0.0010
55041.95419	0.0187	0.0008
55043.84520	0.0225	0.0005
55044.84224	0.0190	0.0005
55045.83918	0.0141	0.0006
55046.91766	0.0155	0.0006
55047.86724	0.0179	0.0005
